event,gender,place,athlete,year,team,result,converted,meet,meet_date
Pole Vault,m,3,"Simmons, Cale",,Air Force,5.53m,False,Mountain West Outdoor Track & Field Championships,2012-05-09
Pole Vault,m,3,"Cunningham, Logan",JR-3,Texas State,5.53m,False,Southland Conference Outdoor Championship 2012,2012-05-11
Pole Vault,m,5,"Reitze, Marvin",SR-4,South Carolina,5.51m,False,Penn Relays,2012-04-26
Pole Vault,f,1,"Sutej, Tina",SR-4,Arkansas,4.55m,False,2012 Clyde Littlefield Texas Relays,2012-03-28
Pole Vault,f,2,"Weygandt, Shade",JR-3,Texas Tech,4.50m,False,Texas Tech Red Raider Open,2012-05-05
Pole Vault,f,3,"Stefanidi, Katerina",SR-4,Stanford,4.48m,False,Pac-12 Championships,2012-05-12
Pole Vault,f,4,"Leleux, Morgann",SO,Georgia,4.44m,False,SEC Outdoor Track & Field Championship,2012-05-10
Pole Vault,f,5,"Miller, Logan",JR-3,Washington,4.38m,False,Pac-12 Championships,2012-05-12
Long Jump,m,1,"Higgs, Raymond",SO-2,Arkansas,8.36m,False,SEC Outdoor Track & Field Championship,2012-05-10
Long Jump,m,2,"Goodwin, Marquise",JR-3,Texas,8.19m,False,Big 12 Outdoor Track & Field Championships,2012-05-11
Long Jump,m,3,"Forbes, Damar",JR-3,LSU,8.13m,False,SEC Outdoor Track & Field Championship,2012-05-10
Long Jump,m,3,"Spencer, Kendall",SO-2,New Mexico,8.13m,False,New Mexico Tailwind Invitational,2012-04-06
Long Jump,m,5,"Samuels, Jarrett",,Miss State,7.98m,False,2012 Clyde Littlefield Texas Relays,2012-03-28
Long Jump,f,1,"Ugen, Lorraine",,TCU,6.83m,False,TCU Invitational,2012-03-15
Long Jump,f,2,"Bowie, Tori",SR-4,Southern Miss.,6.78m,False,Conference USA Outdoor Championships,2012-05-11
Long Jump,f,3,"Gipson, Whitney",SR-4,TCU,6.67m,False,2012 Clyde Littlefield Texas Relays,2012-03-28
Long Jump,f,3,"Simpson, Francine",,Kansas,6.67m,False,Big 12 Outdoor Track & Field Championships,2012-05-11
Long Jump,f,5,"Hayes, Chelsea",SR-4,Louisiana Tech,6.63m,False,Southeastern Lion Invitational,2012-04-19
Triple Jump,m,1,"Benard, Chris",,Arizona State,16.74m,False,54th Annual Mt. SAC Relays,2012-04-19
Triple Jump,m,2,"Craddock, Omar",JR-3,Florida,16.71m,False,2012 Pepsi Florida Relays (College/Open),2012-04-06
Triple Jump,m,3,"Doris, Troy",SR-4,Iowa,16.66m,False,Big Ten Outdoor Championship 2012,2012-05-11
Triple Jump,m,4,"Lamb, Bryce",JR-3,Texas Tech,16.56m,False,Texas Tech Red Raider Open,2012-05-05
Triple Jump,m,5,"Blaise, Kyron",SR-4,LSU,16.49m,False,SEC Outdoor Track & Field Championship,2012-05-10
Triple Jump,f,1,"Demydova, Ganna",SR-4,Southern Miss.,14.03m,False,Conference USA Outdoor Championships,2012-05-11
Triple Jump,f,2,"Brewer, Ciarra",,Florida,13.58m,False,SEC Outdoor Track & Field Championship,2012-05-10
Triple Jump,f,3,"Geubelle, Andrea",,Kansas,13.55m,False,MSSU Invitational,2012-04-27
Triple Jump,f,4,"Jenije, Michelle",SR-4,Florida State,13.47m,False,2012 Clyde Littlefield Texas Relays,2012-03-28
Triple Jump,f,5,"Thomas, Shanieka",JR,San Diego St.,13.39m,False,Mountain West Outdoor Track & Field Championships,2012-05-09
Shot Put,m,1,"Kovacs, Joe",SR-4,Penn State,20.85m,False,Big Ten Outdoor Championship 2012,2012-05-11
Shot Put,m,2,"Thormaehlen, Jacob",SR-4,Texas,20.31m,False,Big 12 Outdoor Track & Field Championships,2012-05-11
Shot Put,m,3,"Pinkelman, Luke",SR-4,Nebraska,20.02m,False,Big Ten Outdoor Championship 2012,2012-05-11
Shot Put,m,4,"Clarke, Jordan",SR,Arizona State,19.89m,False,2012 Double Dual Meet - UA/ASU/NAU,2012-04-28
Shot Put,m,4,"Finley, Mason",JR-3,Kansas,19.89m,False,2012 Kansas Relays,2012-04-18
Shot Put,f,1,"Brooks, Tia",,Oklahoma,18.47m,False,2012 Drake Relays,2012-04-25
Shot Put,f,2,"Hasslen, Alyssa",,Arizona,18.35m,False,54th Annual Mt. SAC Relays,2012-04-19
Shot Put,f,3,"Smith, Brittany",SR,Illinois State,17.92m,False,Sea Ray Relays,2012-04-11
Shot Put,f,4,"McCall, Jeneva",SR-4,Southern Illinois,17.89m,False,2012 State Farm MVC Outdoor Track & Field Championships,2012-05-11
Shot Put,f,5,"Peoples, Kearsten",FR-1,Missouri,17.65m,False,Big 12 Outdoor Track & Field Championships,2012-05-11
Discus,m,1,"Bryant, Luke",SR-4,Oklahoma,61.67m,False,2012 John Jacobs Invitational,2012-04-14
Discus,m,2,"Finley, Mason",JR-3,Kansas,61.40m,False,Baker Relays,2012-03-24
Discus,m,3,"Thomas, Jared",SR-4,South Florida,61.26m,False,Louisville Cardinal Twilight,2012-05-11
Discus,m,4,"Wright, Chad",,Nebraska,60.48m,False,33rd Sun Angel Classic - Invited College,2012-04-05
Discus,m,5,"Weldon, Kole",FR-1,Texas Tech,59.92m,False,Texas Tech Open,2012-04-14
Discus,f,1,"McCall, Jeneva",SR-4,Southern Illinois,59.45m,False,Auburn War Eagle Invitational,2012-04-20
Discus,f,2,"Jelmini, Anna",,Arizona State,59.17m,False,54th Annual Mt. SAC Relays,2012-04-19
